timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-04-24T18:14:16,codecarbon,a06ed0b5-3210-4e64-9761-53eeb19353af,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.2240250000031665,2.2639944355138923e-05,1.8496308780523564e-05,100.0,0.0,10.0,3.399922777963285e-05,0,3.3708380557881253e-06,3.737006583542097e-05,Malaysia,MYS,negeri sembilan,,,Windows-10-10.0.22631-SP0,3.11.5,3.0.0,8,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,,,101.9337,2.7273,7.8372039794921875,machine,N,1.0
2025-04-24T18:14:42,codecarbon,f18133cc-a81e-4f8d-a5f3-ba52be26848e,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.1533636999083683,2.130805771444025e-05,1.847470812210678e-05,100.0,0.0,10.0,3.203404444179291e-05,0,3.1375755552693994e-06,3.517161999706231e-05,Malaysia,MYS,negeri sembilan,,,Windows-10-10.0.22631-SP0,3.11.5,3.0.0,8,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,,,101.9337,2.7273,7.8372039794921875,machine,N,1.0
2025-04-24T18:14:55,codecarbon,2c0f380e-5171-42a5-8e05-f515e9a60311,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.1578882000176236,2.140092538122034e-05,1.848272171777432e-05,100.0,0.0,10.0,3.2160794443269786e-05,0,3.164115277791603e-06,3.532490972106138e-05,Malaysia,MYS,negeri sembilan,,,Windows-10-10.0.22631-SP0,3.11.5,3.0.0,8,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,,,101.9337,2.7273,7.8372039794921875,machine,N,1.0
2025-04-24T18:15:15,codecarbon,86146e7d-5c26-46e5-bf8d-e35c9218bfc5,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.2316725000273436,2.276692922542512e-05,1.848456405815644e-05,100.0,0.0,10.0,3.421034444666778e-05,0,3.369325833369253e-06,3.757967028003704e-05,Malaysia,MYS,negeri sembilan,,,Windows-10-10.0.22631-SP0,3.11.5,3.0.0,8,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,,,101.9337,2.7273,7.8372039794921875,machine,N,1.0
2025-04-24T18:25:09,codecarbon,a3fb739b-0e79-4403-8e82-3add66237596,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.194910400081426,2.208449493175733e-05,1.8482134669053348e-05,100.0,0.0,10.0,3.318800555361021e-05,0,3.265221388816523e-06,3.645322694242673e-05,Malaysia,MYS,negeri sembilan,,,Windows-10-10.0.22631-SP0,3.11.5,3.0.0,8,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,,,101.9337,2.7273,7.8372039794921875,machine,N,1.0
2025-04-24T18:25:25,codecarbon,e9b9f5ec-c077-481c-a0c7-d265ace6165d,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.0940856999950483,2.0225328164464035e-05,1.8486054762031504e-05,100.0,0.0,10.0,3.038907222152273e-05,0,2.995366944621007e-06,3.338443916614375e-05,Malaysia,MYS,negeri sembilan,,,Windows-10-10.0.22631-SP0,3.11.5,3.0.0,8,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,,,101.9337,2.7273,7.8372039794921875,machine,N,1.0
2025-04-24T18:25:43,codecarbon,e2d08d58-eea8-4581-a98c-3e39287e65af,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.3098474000580609,2.4226812807096343e-05,1.8495904794728345e-05,100.0,0.0,10.0,3.638333055682274e-05,0,3.606060555709216e-06,3.998939111253195e-05,Malaysia,MYS,negeri sembilan,,,Windows-10-10.0.22631-SP0,3.11.5,3.0.0,8,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,,,101.9337,2.7273,7.8372039794921875,machine,N,1.0
2025-04-24T18:27:39,codecarbon,04af671c-80e5-45f2-9f2b-af43aaa18be3,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.0740252999821678,1.985961256128192e-05,1.849082378377088e-05,100.0,0.0,10.0,2.9831850002261085e-05,0,2.948929722252716e-06,3.27807797245138e-05,Malaysia,MYS,negeri sembilan,,,Windows-10-10.0.22631-SP0,3.11.5,3.0.0,8,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,,,101.9337,2.7273,7.8372039794921875,machine,N,1.0
2025-04-24T18:28:03,codecarbon,a125cec4-afdf-460c-9f10-e030e5231042,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.1239720000885427,2.0766978438701168e-05,1.8476419730264824e-05,100.0,0.0,10.0,3.121823888957604e-05,0,3.060261944321812e-06,3.427850083389785e-05,Malaysia,MYS,negeri sembilan,,,Windows-10-10.0.22631-SP0,3.11.5,3.0.0,8,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,,,101.9337,2.7273,7.8372039794921875,machine,N,1.0
2025-04-24T23:11:59,codecarbon,83e6f52d-6007-4075-827c-72e39d4ba563,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.8022363000782209,3.327706127291885e-05,1.846431640039353e-05,100.0,0.0,10.0,5.00562138913665e-05,0,4.871746666807061e-06,5.492796055817356e-05,Malaysia,MYS,negeri sembilan,,,Windows-10-10.0.22631-SP0,3.11.5,3.0.0,8,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,,,101.9337,2.7273,7.8372039794921875,machine,N,1.0
